V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q47,Q35,Q35_TEXT,Q25,Q31,Q32,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_6_TEXT,Q30_7,Q30_8,Q39,Q43,Q50_4,Q50_5,Q50_6,Q50_7,Q50_8,Q50_9,Q50_10,Q50_11,Q50_16,Q22_1,Q22_2,Q22_3,Q22_5,Q22_5_TEXT,Q1,Q40_1,Q40_2,Q40_3,Q48_1,Q48_2,Q48_3,Q26,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q34_7,Q34_7_TEXT,Q44,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_8,Q36_10,Q36_11,Q27,Q49,Q45,Q21_Tool_Count,Q21,Q41,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_7_TEXT,Q20,Q50_1,Q50_2,Q50_3,Q50_4,Q50_5,Q50_6,LocationLatitude,LocationLongitude,LocationAccuracy,
R_2PCkgZrJ6lWMh6A,Default Response Set,Anonymous,,,31.161.178.45,0,8/4/16 2:58,8/4/16 3:05,1,1,1,,4,2,2,1,1,,,,,,1,1,2,1,37,38,39,39,39,38,39,39,39,,1,,,,1,,,,,,,1,,1,,,,,,1,16,16,15,16,16,16,15,16,16,16,,,1,3,"Kdiff3, git diff, diff tool of IDE ",2,25,25,24,23,22,24,,,4,4,4,4,4,3,4,52.38240051,4.899505615,-1,
R_eRJf0lvIM73ZwGZ,Default Response Set,Anonymous,,,86.162.90.166,0,8/4/16 3:25,8/4/16 3:31,1,1,1,,2,3,2,1,,,,,,,1,,2,1,38,39,39,37,37,39,40,38,40,1,1,1,,,2,,,,2,3,4,1,1,1,,1,,,,1,17,16,16,16,17,15,14,16,15,16,,,1,4,"Git, SourceTree, DiffMerge, Email/Phone",1,26,26,26,25,24,26,,,5,2,4,4,3,5,2,50.86979675,-1.310897827,-1,
R_2aRVPuPFAdHrxTo,Default Response Set,Anonymous,,,177.34.106.144,0,8/4/16 5:37,8/4/16 5:39,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,-8.050003052,-34.8999939,-1,
R_1mVPcI2dLWYqdb1,Default Response Set,Anonymous,,,177.32.82.212,0,8/4/16 5:39,8/4/16 5:49,1,1,,,1,2,2,1,,,,,,,,,2,1,37,37,37,37,37,36,37,37,38,1,1,1,,,1,2,3,4,,,,3,,,,,,,,1,15,14,14,14,15,15,14,15,13,15,,,1,2,"GitKraken, text editor",1,26,25,24,24,23,25,,,3,4,4,4,4,4,3,-23.47329712,-46.665802,-1,
R_2tgwPVg2qRvgHz7,Default Response Set,Anonymous,,,24.156.77.93,0,7/28/16 7:05,7/28/16 7:08,0,1,1,,1,1,1,1,,,,,,,,,2,1,37,37,38,38,37,,37,,37,,,1,,,2,,,,5,2,4,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3ea83Re43A9qnM5,Default Response Set,Anonymous,,,2.206.3.153,0,8/4/16 9:18,8/4/16 9:28,1,1,1,,2,2,2,1,,,,1,,,1,,2,1,37,37,37,37,38,36,37,38,39,,1,,,,1,1,3,4,,,,3,,,,,,,,1,17,17,15,14,17,14,15,14,16,17,2,,1,2,The IDE phpstorm and the terminal,3,26,26,25,24,24,25,,,4,4,5,3,,4,5,51.61830139,7.956497192,-1,
R_1djdBcrT7Ob34Mk,Default Response Set,Anonymous,,,187.97.80.205,0,8/4/16 9:38,8/4/16 9:46,1,1,1,,2,2,3,1,,1,,,,,,,2,1,37,37,37,37,37,38,37,38,38,,,1,,,1,2,3,4,,,,3,,,,,,,,1,16,16,14,16,15,15,14,15,16,16,,,1,2,"Text editor (any), Github (for history check)",1,26,23,23,23,22,25,,,2,4,3,2,2,4,3,-22.83050537,-43.2191925,-1,
R_2zU4soKZGE36SBy,Default Response Set,Anonymous,,,24.22.83.130,0,8/4/16 10:03,8/4/16 10:14,1,1,1,,2,2,2,,1,1,,,,,,,2,1,39,38,40,37,39,37,39,38,38,1,,,,,1,2,3,4,,,,1,,1,,1,,,,1,14,17,16,15,16,17,16,17,14,15,,,1,4,"Git, P4Merge, and some PowerShell scripts",3,25,24,24,23,22,25,,,4,2,4,4,5,3,5,44.63909912,-123.2709961,-1,
R_0W0t4Xt8A3f5uPn,Default Response Set,Anonymous,,,179.111.216.206,0,8/4/16 10:33,8/4/16 10:42,1,1,1,,3,3,4,1,,,,,,,1,1,2,1,37,38,37,37,38,38,37,37,39,,,1,,,2,,,,1,3,2,3,,,,,,,,1,16,15,14,15,15,15,13,15,15,16,,,1,1,P4merge,1,26,26,25,25,23,23,,,4,4,3,4,4,2,2,-23.47329712,-46.665802,-1,
R_2WHIFgWiXTy1XCH,Default Response Set,Anonymous,,,187.49.238.202,0,8/4/16 10:46,8/4/16 10:51,1,1,1,,1,2,2,1,,,,,,,,,3,1,39,39,40,37,38,36,37,37,40,1,,1,,,1,1,3,4,,,,1,1,,1,1,,,,1,17,15,14,15,17,16,16,15,14,17,,,1,2,I usually know about the existence of a conflict via Git GUI and then go directly to the conflicting file to change it manually. In the past I used a Emacs plugin to work conflicts out.,2,26,26,25,24,23,25,,,3,3,4,5,5,3,2,-27.58329773,-48.56669617,-1,
R_ujGSW7Yp3fwPp4J,Default Response Set,Anonymous,,,80.214.68.227,0,8/4/16 1:41,8/4/16 11:45,1,1,1,,1,2,3,1,,,,,,,,1,5,1,38,39,40,39,40,37,38,37,38,1,,,,,1,1,3,5,,,,3,,,,,,,,1,14,16,14,14,15,15,13,16,14,16,,,1,1,Git diff,3,24,23,22,22,23,24,,,3,1,4,4,3,2,1,48.85820007,2.338699341,-1,
R_3DdyLAg3q3zdbwo,Default Response Set,Anonymous,,,70.211.0.79,0,7/28/16 13:07,7/28/16 13:07,0,1,1,,4,2,2,1,1,1,1,1,,,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_2TtKUCSy2csNBO8,Default Response Set,Anonymous,,,62.72.192.115,0,8/4/16 13:10,8/4/16 14:10,1,1,1,,4,2,2,1,,,,,,,,,5,1,37,37,38,37,38,39,37,36,39,,1,,,,2,,,,1,2,3,3,,,,,,,,1,16,17,16,14,17,17,14,15,15,15,,,1,3,"IntelliJ, TortoiseSVN, WinMerge",3,26,26,25,25,25,25,,,4,4,4,3,2,2,4,52.38240051,4.899505615,-1,
R_3O9CrX8M26lvJUx,Default Response Set,Anonymous,,,177.139.156.225,0,8/4/16 16:19,8/4/16 18:04,1,1,2,,2,2,3,1,,,,1,1,Agile Coach,1,1,2,1,36,37,40,38,39,40,38,38,40,,,1,,,1,2,2,4,,,,3,,,,,,,,1,14,17,13,15,14,13,17,15,13,15,1,"There were many such situations. What I have seen happen more often is the use of new language features, that weren't available on the old version.",1,2,My regular IDE and bash diffs,2,26,25,25,25,23,22,,,2,2,4,4,2,2,3,-23.47329712,-46.665802,-1,
R_1pWMHdUTnpH1y4A,Default Response Set,Anonymous,,,157.158.43.239,0,7/29/16 8:24,7/29/16 8:26,0,1,1,,2,2,5,1,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_1n6eKU0aq8crgvW,Default Response Set,Anonymous,,,143.107.45.11,0,8/5/16 9:18,8/5/16 9:26,1,1,1,,1,1,2,1,,,,,,,,,2,1,37,37,36,37,37,36,37,37,37,,1,,,,3,,,,,,,2,,1,,,,,,1,15,16,16,16,16,15,14,14,15,15,,,1,1,I use my IDE (Pycharm).,2,25,25,25,25,25,25,,,2,3,3,3,3,4,4,-23.47329712,-46.665802,-1,
R_1hVZqdXhGsNH6Vc,Default Response Set,Anonymous,,,177.83.8.60,0,8/6/16 7:24,8/6/16 7:33,1,1,1,,3,2,2,1,,,,,,,1,,4,1,37,38,39,39,40,37,39,39,40,,,1,,,2,,,,2,3,4,2,,1,,1,,,,1,16,16,16,16,16,16,14,17,14,16,,,1,3,"Meld, Gitkraken, PyCharm",3,26,25,24,24,24,26,24,,4,4,4,4,4,4,3,-20.44999695,-54.61669922,-1,
R_3KH2ZSvN9UhhSMV,Default Response Set,Anonymous,,,79.205.242.76,0,8/8/16 3:43,8/8/16 3:43,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,52.51669312,13.3999939,-1,
R_3flyaTSac7CF5K4,Default Response Set,Anonymous,,,54.240.196.171,0,8/8/16 14:28,8/8/16 14:29,1,1,1,,1,2,2,1,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,47.61030579,-122.3340988,-1,
R_32PAxTVFjYfbhGE,Default Response Set,Anonymous,,,54.240.196.185,0,8/9/16 8:59,8/9/16 9:03,1,1,1,,2,2,3,1,1,,,,,,,,5,1,38,39,40,37,39,36,38,37,36,,,1,,,2,,,,1,2,4,3,,,,,,,,1,15,16,13,15,14,13,13,14,15,16,,,1,2,"vim, intellij",2,25,25,24,24,23,25,,,4,2,3,3,3,2,2,47.61030579,-122.3340988,-1,
R_2TAcuUOgnU4mD1h,Default Response Set,Anonymous,,,128.193.154.237,0,7/29/16 11:30,8/2/16 13:27,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_24P0d4I9aC8n1gS,Default Response Set,Anonymous,,,72.21.198.69,0,8/2/16 13:38,8/2/16 13:40,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_2CCw2nQryBMnHcw,Default Response Set,Anonymous,,,54.240.196.185,0,8/2/16 13:45,8/2/16 13:45,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_pttHXAtHm3OhUdj,Default Response Set,Anonymous,,,54.240.196.169,0,8/2/16 13:49,8/2/16 13:49,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_30q1PdTYPr538ty,Default Response Set,Anonymous,,,54.240.196.170,0,8/2/16 13:47,8/2/16 13:49,0,1,2,,1,3,2,1,,,,,,,,,2,1,40,38,39,38,39,38,39,38,37,1,1,1,,,1,2,3,4,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_1FCWeY0dmJ7nr6G,Default Response Set,Anonymous,,,54.240.196.170,0,8/2/16 13:47,8/2/16 13:49,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_2RanEDjhAgSeVQl,Default Response Set,Anonymous,,,54.240.196.186,0,8/2/16 13:52,8/2/16 13:52,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3pseQwfpEDOGYrD,Default Response Set,Anonymous,,,54.240.196.169,0,8/2/16 14:01,8/2/16 14:04,0,1,1,,1,3,2,1,,,,,,,,,4,1,37,37,37,37,36,38,36,36,36,,1,,,,2,,,,1,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_2wNpiANHTt4D5p5,Default Response Set,Anonymous,,,54.240.196.186,8,8/2/16 14:05,8/2/16 14:06,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_51hMBO3XwcYx1n3,Default Response Set,Anonymous,,,54.240.196.170,0,8/2/16 14:21,8/2/16 14:21,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_x8YyKlURLBDbvcR,Default Response Set,Anonymous,,,54.240.196.186,8,8/2/16 14:21,8/2/16 14:21,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_SNR5N5Z0gXWNHgd,Default Response Set,Anonymous,,,54.240.196.186,0,8/2/16 14:23,8/2/16 14:24,0,1,1,,1,2,2,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_25yeYgPZLNwQkXF,Default Response Set,Anonymous,,,54.240.196.169,0,8/2/16 14:33,8/2/16 14:34,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3NOfsVGo8Dbdo1Z,Default Response Set,Anonymous,,,54.240.196.170,0,8/2/16 14:33,8/2/16 14:34,0,1,1,,1,2,4,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_R98oGEza3zL2zDj,Default Response Set,Anonymous,,,54.240.196.170,0,8/2/16 14:36,8/2/16 14:37,0,1,1,,1,2,2,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_2ZTxHr5JbUBZSS1,Default Response Set,Anonymous,,,54.240.196.171,0,8/2/16 14:36,8/2/16 14:39,0,1,1,,1,2,3,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_1igFp6UFXdJXIkY,Default Response Set,Anonymous,,,54.240.196.186,0,8/2/16 14:42,8/2/16 14:42,0,1,5,,2,2,3,1,,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_vB5iv4KYeDcIZ1v,Default Response Set,Anonymous,,,54.240.196.170,0,8/2/16 14:42,8/2/16 14:43,0,1,1,,1,2,2,1,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_30uidP2XvOmU3l5,Default Response Set,Anonymous,,,54.240.196.169,8,8/2/16 14:43,8/2/16 14:44,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_0d2QA01DrsFXfHP,Default Response Set,Anonymous,,,54.240.196.186,0,8/2/16 14:50,8/2/16 14:54,0,1,1,,2,2,3,1,1,,,,,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_22PlEgwJWwBB3Gk,Default Response Set,Anonymous,,,54.240.196.169,0,8/2/16 14:55,8/2/16 14:55,0,1,1,,1,2,2,1,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_1lgitNWq5QPvmF5,Default Response Set,Anonymous,,,54.240.196.171,0,8/2/16 14:54,8/2/16 14:55,0,1,1,,1,2,2,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_1NCE3x6wr7Bc4CL,Default Response Set,Anonymous,,,54.240.196.171,0,8/2/16 15:27,8/2/16 15:27,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3soy27B4HnW8fAt,Default Response Set,Anonymous,,,54.240.196.186,0,8/2/16 15:03,8/2/16 15:33,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_1dgmiZnuXeWiFO8,Default Response Set,Anonymous,,,54.240.196.171,0,8/2/16 15:49,8/2/16 15:50,0,1,1,,3,3,4,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3Pns6fIuj0PuQNO,Default Response Set,Anonymous,,,54.240.196.186,0,8/2/16 17:32,8/2/16 17:33,0,1,1,,1,2,2,1,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_2zI0AltYIFxybqc,Default Response Set,Anonymous,,,54.240.196.170,0,8/2/16 17:40,8/2/16 17:42,0,1,1,,2,2,3,1,,,,,,,,,6,1,37,37,37,37,37,37,37,36,36,,,1,,,1,1,2,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3p5z1G4WS9SRML1,Default Response Set,Anonymous,,,143.107.52.211,0,8/3/16 10:09,8/3/16 10:10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_1ih9749wETgmAiV,Default Response Set,Anonymous,,,143.107.45.30,0,8/3/16 10:14,8/3/16 10:16,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_6F5ra4vJvYU05JX,Default Response Set,Anonymous,,,177.148.241.23,0,8/3/16 10:21,8/3/16 10:21,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_1NE3vvsijyEelBe,Default Response Set,Anonymous,,,73.133.234.192,0,8/10/16 10:12,8/10/16 10:22,1,1,1,,2,2,3,1,,,,,,,1,,5,1,39,40,40,39,37,37,39,39,37,1,1,,,,2,,,,2,3,5,3,,,,,,,,1,14,16,14,16,14,14,15,16,17,14,,,1,1,Beyond Compare,2,25,24,24,23,,24,,,3,3,3,1,1,1,1,39.34300232,-76.68579865,-1,
R_26fropjGe7lYA4u,Default Response Set,Anonymous,,,50.188.145.91,0,8/10/16 10:36,8/10/16 10:44,1,1,1,,2,3,2,1,,,1,1,,,,,5,1,37,37,37,36,36,37,36,37,37,1,,,,,2,,,,2,2,3,2,,1,1,1,,,,1,14,15,14,15,14,14,15,13,14,15,2,,1,,,2,,,,,,,,,4,,,,,,,44.63909912,-123.2709961,-1,
R_12Rus21hYzQjNeW,Default Response Set,Anonymous,,,143.107.183.158,0,8/3/16 10:41,8/3/16 10:43,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_32R8NaKzfq4c2sn,Default Response Set,Anonymous,,,143.107.45.24,0,8/3/16 10:37,8/3/16 10:47,0,1,1,,1,3,1,,,,,,1,None,,,1,1,38,38,38,,40,39,39,39,37,,,1,,,1,3,3,3,,,,1,,,,1,,,,1,14,14,15,17,14,15,14,17,15,14,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_2v8QIAUqd4Bxc9U,Default Response Set,Anonymous,,,54.240.196.185,0,8/3/16 10:50,8/3/16 10:50,0,1,1,,1,3,2,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_2rNKIZMHJtsO6Mi,Default Response Set,Anonymous,,,143.107.45.11,0,8/3/16 10:46,8/3/16 10:52,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3EyDEhugU9vmAim,Default Response Set,Anonymous,,,65.190.5.12,0,8/10/16 10:53,8/10/16 11:00,1,1,,,3,2,2,1,,,,1,,,,,3,1,38,37,40,36,38,36,36,38,37,,,1,,,3,,,,,,,1,,1,,1,,1,"Tool issues. For example, in Eclipse, some static analysis fixes might re-order the imports to make them alphabetic. But this introduces a spurious change into the commit. So you have to be extra careful about what tools or fixes you can apply, even when static analysis recommends them.",1,15,17,16,14,17,16,14,14,17,14,2,,1,3,I use Beyond Compare to do the diffing. I also use SourceTree to identify the conflicting files. Sometimes I will need to use the version control system itself (git) and pull the older revision to manually inspect differences. Tools don't make it easy to work with two arbitrary revisions side by side.,3,26,25,22,22,22,26,,,3,4,4,2,3,4,2,35.93409729,-78.71659851,-1,
R_1jg1OvxqEF6daDj,Default Response Set,Anonymous,,,143.107.45.30,0,8/3/16 11:00,8/3/16 11:03,0,1,1,,1,1,2,1,,,,,,,,,4,1,40,40,40,40,40,38,40,38,39,1,,1,,,1,2,4,5,,,,1,1,1,1,1,,,,1,17,17,17,17,17,17,17,17,17,16,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_1kXt4zZOC4JorCE,Default Response Set,Anonymous,,,177.32.82.212,0,8/3/16 11:03,8/3/16 11:05,0,1,1,,1,2,2,1,,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_10SkDM66niPsM0m,Default Response Set,Anonymous,,,138.36.34.30,0,8/3/16 11:07,8/3/16 11:07,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_1IhpCEb8hEM1yGl,Default Response Set,Anonymous,,,201.85.54.178,0,8/3/16 11:12,8/3/16 11:13,0,1,1,,1,2,5,1,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3NxMwSsFb6Zboir,Default Response Set,Anonymous,,,200.129.129.2,0,8/3/16 10:04,8/3/16 11:13,0,1,1,,2,1,2,,1,,,,,,,,5,1,38,38,38,39,,37,37,38,39,1,,,,,2,,,,,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_2BzaLQpw08ysuO4,Default Response Set,Anonymous,,,191.177.186.80,0,8/3/16 10:01,8/3/16 11:30,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_1F2Q5AYv9ip9KY1,Default Response Set,Anonymous,,,143.107.45.11,0,8/3/16 11:46,8/3/16 11:46,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_9XrwZ5QnNnKHuCZ,Default Response Set,Anonymous,,,54.240.196.185,0,8/3/16 12:18,8/3/16 12:18,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_33rS5a2arLs3eQs,Default Response Set,Anonymous,,,179.99.204.56,0,8/3/16 12:43,8/3/16 12:44,0,1,1,,3,2,2,1,1,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_zehjnxIahMZwZ1f,Default Response Set,Anonymous,,,104.132.1.88,0,8/10/16 12:40,8/10/16 12:52,1,1,1,,2,3,2,1,,,,,,,,,5,1,37,37,38,37,36,36,38,39,37,,,1,,,1,1,2,4,,,,3,,,,,,,,1,13,16,13,13,13,13,17,13,17,13,,,1,2,"I do conflict resolution on ""git rebase"", and don't usually do merge at all. / For the conflict resolution, I don't use any particular tool other than bare git and a normal code editor.",1,25,25,24,24,22,25,,,4,4,5,5,2,1,1,37.41920471,-122.0574036,-1,
R_3EnkR4BGIeuhsEw,Default Response Set,Anonymous,,,138.226.68.4,0,8/10/16 10:52,8/10/16 13:18,1,1,1,,1,3,2,1,,,,,,,,,6,1,38,39,37,39,38,37,37,37,38,1,,,,,1,1,2,4,,,,1,1,1,,1,,,,1,14,14,14,15,17,16,14,14,15,14,,,1,4,"Sourcetree, meld (though I don't currently have it configured correctly), text or code editor (texStudio, eclipse, etc)",3,23,23,23,22,22,23,,,3,4,4,3,4,2,2,46.51719666,-112.1211014,-1,
R_1mPC3MF4J9WOBmi,Default Response Set,Anonymous,,,186.220.238.218,0,8/3/16 13:24,8/3/16 13:27,0,1,1,,3,1,2,1,,,,,,,1,,2,1,39,38,39,38,40,36,38,38,38,,,1,,,1,2,3,4,,,,1,1,,1,,,,,1,15,17,16,16,17,17,17,15,15,17,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_UAsZD4SfmBQgmEF,Default Response Set,Anonymous,,,201.87.124.67,0,8/3/16 13:43,8/3/16 13:46,0,1,1,,1,3,2,1,,,1,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_suvpp1mPdfvuaCl,Default Response Set,Anonymous,,,54.240.196.169,0,8/3/16 13:49,8/3/16 13:53,0,1,1,,2,2,2,1,,,,,,,,,4,1,40,38,39,38,38,39,38,37,38,,,1,,,2,,,,1,2,3,2,,,,,,1,Size of team,1,15,16,14,14,17,15,16,16,15,15,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_UQlwtr22lV3k06J,Default Response Set,Anonymous,,,143.107.45.30,0,8/3/16 14:30,8/3/16 14:32,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_2rxucnneLt8Y22f,Default Response Set,Anonymous,,,179.111.110.189,0,8/3/16 14:38,8/3/16 14:38,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_20O8krpXKANqPSU,Default Response Set,Anonymous,,,177.32.82.212,0,8/3/16 14:50,8/3/16 14:50,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_0dERQPw0IpVncid,Default Response Set,Anonymous,,,186.220.237.168,0,8/3/16 14:55,8/3/16 14:55,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
