Gender,Experience,DevType,TeamSize,Roles,ConflictFreq,Q50_4,Q50_5,Q50_6,Q50_7,Q50_8,Q50_9,Q50_10,Q50_11,Q50_16,Q22,Q1,Q40_1,Q40_2,Q40_3,Q48_1,Q48_2,Q48_3,Q26,Q34,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_8,Q36_10,Q36_11,Q27,Q49,Q21,Q41,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q20,Q50_1,Q50_2,Q50_3,Q50_4,Q50_5,Q50_6
Male,16-20 years,I split my time evenly,6-10 developers,"[Software Engineer/Developer, Project Manager, System Architect, DevOps]",A few times a week,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A little,A lot,A moderate amount,A little,A lot,[Resolution time],Yes,,,,,,,Yes,"[Deadlines, Team awareness issues, Project size/scale, Project structure issues]",A great deal,A great deal,A lot,A great deal,A great deal,A great deal,A moderate amount,A lot,A great deal,A lot,Yes,Too much complexity involved due to incompatible dependences.,Xdiff,Rarely,Moderately effective,Slightly effective,Slightly effective,Not effective at all,Slightly effective,Very effective,Moderately effective,A moderate amount,Very Useful,Essential,Very Useful,Essential,Essential,Essential
Male,16-20 years,Closed-Source Projects,11-50 developers,"[Software Engineer/Developer, System Architect]",A few times a month,A little,A lot,A lot,A moderate amount,A lot,A lot,A great deal,A great deal,A lot,[Lines of code],Yes,Mostly Trivial,Difficult,Not Worth Solving,,,,No,[],A lot,A great deal,A great deal,A great deal,A great deal,A moderate amount,A great deal,A great deal,A great deal,A great deal,,,K3diff,Rarely,Very effective,Very effective,Slightly effective,Slightly effective,Not effective at all,Moderately effective,,A moderate amount,Very Useful,Very Useful,Essential,Essential,Essential,Essential
Male,16-20 years,Closed-Source Projects,11-50 developers,"[Software Engineer/Developer, Systems Administrator, System Architect, DevOps]",Once a week,A little,A little,A lot,A lot,A lot,A moderate amount,A little,A moderate amount,A moderate amount,[Number of files],Sometimes,,,,Mostly Trivial,Somewhat Difficult,Difficult,No,[],A little,A lot,Not at all,A little,A great deal,A lot,A lot,A little,A little,A little,,,"vim, IntelliJ, git",Never,Extremely Effective,Very effective,Extremely Effective,Moderately effective,Extremely Effective,Extremely Effective,,Completely,,,,,,
Male,1-5 years,Closed-Source Projects,2-5 developers,"[Software Engineer/Developer, System Architect]",A few times a month,A moderate amount,A moderate amount,A lot,A moderate amount,A lot,A little,A moderate amount,A great deal,A lot,[Resolution time],Yes,Mostly Trivial,Somewhat Difficult,Difficult,,,,Maybe,"[Deadlines, Project rules]",A lot,A lot,A great deal,A lot,A great deal,A lot,A great deal,A great deal,A moderate amount,A lot,,,"Normal code editor, Kaleidoscope merge tool, sometimes kdiff3",Rarely,Very effective,Very effective,Very effective,Moderately effective,Moderately effective,Very effective,,A moderate amount,Moderately Useful,Moderately Useful,Very Useful,Very Useful,Essential,Moderately Useful
Male,6-10 years,Closed-Source Projects,6-10 developers,"[Software Engineer/Developer, Systems Administrator, DevOps]",A few times a month,A moderate amount,A moderate amount,A little,A moderate amount,A moderate amount,A little,A little,A little,A lot,[Lines of code],Yes,Mostly Trivial,Somewhat Difficult,Difficult,,,,Maybe,[Project structure issues],A moderate amount,A lot,A little,A lot,A little,A little,A little,A moderate amount,A great deal,A little,,,"IntellJ, Git Kranker",Rarely,Very effective,Very effective,Very effective,Very effective,Slightly effective,Slightly effective,Not effective at all,A lot,Very Useful,Very Useful,Moderately Useful,Very Useful,Very Useful,Essential
Male,16-20 years,Closed-Source Projects,2-5 developers,"[Software Engineer/Developer, Systems Engineer, System Architect, DevOps]",A few times a week,A little,A moderate amount,A lot,A lot,A lot,A moderate amount,A lot,A lot,A lot,[Number of files],Yes,,,,,,,Yes,[Team awareness issues],A lot,A lot,A moderate amount,A lot,A lot,A lot,A moderate amount,A lot,A lot,A lot,,,"Kdiff3, git diff, diff tool of IDE",Rarely,Very effective,Very effective,Moderately effective,Slightly effective,Not effective at all,Moderately effective,,A lot,Very Useful,Very Useful,Very Useful,Very Useful,Moderately Useful,Very Useful
Male,6-10 years,I split my time evenly,2-5 developers,"[Software Engineer/Developer, System Architect]",A few times a week,A moderate amount,A lot,A lot,A little,A little,A lot,A great deal,A moderate amount,A great deal,"[Lines of code, Number of files, Resolution time]",Sometimes,,,,Mostly Trivial,Somewhat Difficult,Difficult,Yes,"[Deadlines, Team awareness issues, Project structure issues]",A great deal,A lot,A lot,A lot,A great deal,A moderate amount,A little,A lot,A moderate amount,A lot,,,"Git, SourceTree, DiffMerge, Email/Phone",Never,Extremely Effective,Extremely Effective,Extremely Effective,Very effective,Moderately effective,Extremely Effective,,Completely,Slightly Useful,Very Useful,Very Useful,Moderately Useful,Essential,Slightly Useful
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,1-5 years,Closed-Source Projects,2-5 developers,[Software Engineer/Developer],A few times a week,A little,A little,A little,A little,A little,Not at all,A little,A little,A moderate amount,"[Lines of code, Number of files, Resolution time]",Yes,Mostly Trivial,Somewhat Difficult,Difficult,,,,No,[],A moderate amount,A little,A little,A little,A moderate amount,A moderate amount,A little,A moderate amount,Not at all,A moderate amount,,,"GitKraken, text editor",Never,Extremely Effective,Very effective,Moderately effective,Moderately effective,Slightly effective,Very effective,,A moderate amount,Very Useful,Very Useful,Very Useful,Very Useful,Very Useful,Moderately Useful
Male,1-5 years,Open-Source Projects,1 developer,[Software Engineer/Developer],A few times a week,A little,A little,A moderate amount,A moderate amount,A little,,A little,,A little,[Resolution time],Sometimes,,,,Not Worth Solving,Mostly Trivial,Difficult,Yes,[Project structure issues],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,6-10 years,Closed-Source Projects,2-5 developers,"[Software Engineer/Developer, Project Manager, System Architect]",A few times a week,A little,A little,A little,A little,A moderate amount,Not at all,A little,A moderate amount,A lot,[Number of files],Yes,Trivial,Somewhat Difficult,Difficult,,,,No,[],A great deal,A great deal,A moderate amount,A little,A great deal,A little,A moderate amount,A little,A lot,A great deal,No,,The IDE phpstorm and the terminal,Sometimes,Extremely Effective,Extremely Effective,Very effective,Moderately effective,Moderately effective,Very effective,,A lot,Very Useful,Essential,Moderately Useful,,Very Useful,Essential
Male,6-10 years,Closed-Source Projects,6-10 developers,"[Software Engineer/Developer, Systems Administrator]",A few times a week,A little,A little,A little,A little,A little,A moderate amount,A little,A moderate amount,A moderate amount,[Resolution time],Yes,Mostly Trivial,Somewhat Difficult,Difficult,,,,No,[],A lot,A lot,A little,A lot,A moderate amount,A moderate amount,A little,A moderate amount,A lot,A lot,,,"Text editor (any), Github (for history check)",Never,Extremely Effective,Slightly effective,Slightly effective,Slightly effective,Not effective at all,Very effective,,A little,Very Useful,Moderately Useful,Slightly Useful,Slightly Useful,Very Useful,Moderately Useful
Male,6-10 years,Closed-Source Projects,2-5 developers,"[Systems Engineer, Systems Administrator]",A few times a week,A lot,A moderate amount,A great deal,A little,A lot,A little,A lot,A moderate amount,A moderate amount,[Lines of code],Yes,Mostly Trivial,Somewhat Difficult,Difficult,,,,Yes,"[Team awareness issues, Project structure issues]",A little,A great deal,A lot,A moderate amount,A lot,A great deal,A lot,A great deal,A little,A moderate amount,,,"Git, P4Merge, and some PowerShell scripts",Sometimes,Very effective,Moderately effective,Moderately effective,Slightly effective,Not effective at all,Very effective,,A lot,Slightly Useful,Very Useful,Very Useful,Essential,Moderately Useful,Essential
Male,11-15 years,I split my time evenly,11-50 developers,"[Software Engineer/Developer, System Architect, DevOps]",A few times a week,A little,A moderate amount,A little,A little,A moderate amount,A moderate amount,A little,A little,A lot,[Resolution time],Sometimes,,,,Trivial,Somewhat Difficult,Mostly Trivial,No,[],A lot,A moderate amount,A little,A moderate amount,A moderate amount,A moderate amount,Not at all,A moderate amount,A moderate amount,A lot,,,P4merge,Never,Extremely Effective,Extremely Effective,Very effective,Very effective,Slightly effective,Slightly effective,,A lot,Very Useful,Moderately Useful,Very Useful,Very Useful,Slightly Useful,Slightly Useful
Male,1-5 years,Closed-Source Projects,2-5 developers,[Software Engineer/Developer],Once a week,A lot,A lot,A great deal,A little,A moderate amount,Not at all,A little,A little,A great deal,"[Lines of code, Resolution time]",Yes,Trivial,Somewhat Difficult,Difficult,,,,Yes,"[Deadlines, Project size/scale, Project structure issues]",A great deal,A moderate amount,A little,A moderate amount,A great deal,A lot,A lot,A moderate amount,A little,A great deal,,,I usually know about the existence of a conflict via Git GUI and then go directly to the conflicting file to change it manually. In the past I used a Emacs plugin to work conflicts out.,Rarely,Extremely Effective,Extremely Effective,Very effective,Moderately effective,Slightly effective,Very effective,,A moderate amount,Moderately Useful,Very Useful,Essential,Essential,Moderately Useful,Slightly Useful
Male,1-5 years,Closed-Source Projects,6-10 developers,"[Software Engineer/Developer, DevOps]",A few times a month,A moderate amount,A lot,A great deal,A lot,A great deal,A little,A moderate amount,A little,A moderate amount,[Lines of code],Yes,Trivial,Somewhat Difficult,Not Worth Solving,,,,No,[],A little,A lot,A little,A little,A moderate amount,A moderate amount,Not at all,A lot,A little,A lot,,,Git diff,Sometimes,Moderately effective,Slightly effective,Not effective at all,Not effective at all,Slightly effective,Moderately effective,,A moderate amount,Not Useful,Very Useful,Very Useful,Moderately Useful,Slightly Useful,Not Useful
Male,16-20 years,Closed-Source Projects,2-5 developers,"[Software Engineer/Developer, Systems Engineer, Systems Administrator, Project Maintainer, Project Manager, System Architect, DevOps]",Once a year or less,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,16-20 years,Closed-Source Projects,2-5 developers,[Software Engineer/Developer],A few times a month,A little,A little,A moderate amount,A little,A moderate amount,A lot,A little,Not at all,A lot,[Number of files],Sometimes,,,,Trivial,Mostly Trivial,Somewhat Difficult,No,[],A lot,A great deal,A lot,A little,A great deal,A great deal,A little,A moderate amount,A moderate amount,A moderate amount,,,"IntelliJ, TortoiseSVN, WinMerge",Sometimes,Extremely Effective,Extremely Effective,Very effective,Very effective,Very effective,Very effective,,A lot,Very Useful,Very Useful,Moderately Useful,Slightly Useful,Slightly Useful,Very Useful
Female,6-10 years,Closed-Source Projects,6-10 developers,"[Software Engineer/Developer, Project Manager, Other, System Architect, DevOps]",A few times a week,Not at all,A little,A great deal,A moderate amount,A lot,A great deal,A moderate amount,A moderate amount,A great deal,[Resolution time],Yes,Mostly Trivial,Mostly Trivial,Difficult,,,,No,[],A little,A great deal,Not at all,A moderate amount,A little,Not at all,A great deal,A moderate amount,Not at all,A moderate amount,Yes,"There were many such situations. What I have seen happen more often is the use of new language features, that weren't available on the old version.",My regular IDE and bash diffs,Rarely,Extremely Effective,Very effective,Very effective,Very effective,Slightly effective,Not effective at all,,A little,Slightly Useful,Very Useful,Very Useful,Slightly Useful,Slightly Useful,Moderately Useful
Male,6-10 years,Closed-Source Projects,51+ developers,"[Software Engineer/Developer, DevOps]",Once a week,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,1-5 years,Open-Source Projects,2-5 developers,[Software Engineer/Developer],A few times a week,A little,A little,Not at all,A little,A little,Not at all,A little,A little,A little,[Number of files],No,,,,,,,Maybe,[Team awareness issues],A moderate amount,A lot,A lot,A lot,A lot,A moderate amount,A little,A little,A moderate amount,A moderate amount,,,I use my IDE (Pycharm).,Rarely,Very effective,Very effective,Very effective,Very effective,Very effective,Very effective,,A little,Moderately Useful,Moderately Useful,Moderately Useful,Moderately Useful,Very Useful,Very Useful
Male,11-15 years,Closed-Source Projects,2-5 developers,"[Software Engineer/Developer, System Architect]",Once a month,A little,A moderate amount,A lot,A lot,A great deal,A little,A lot,A lot,A great deal,[Resolution time],Sometimes,,,,Mostly Trivial,Somewhat Difficult,Difficult,Maybe,"[Team awareness issues, Project structure issues]",A lot,A lot,A lot,A lot,A lot,A lot,A little,A great deal,A little,A lot,,,"Meld, Gitkraken, PyCharm",Sometimes,Extremely Effective,Very effective,Moderately effective,Moderately effective,Moderately effective,Extremely Effective,Moderately effective,A lot,Very Useful,Very Useful,Very Useful,Very Useful,Very Useful,Moderately Useful
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,1-5 years,Closed-Source Projects,2-5 developers,[Software Engineer/Developer],Once a week,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,6-10 years,Closed-Source Projects,6-10 developers,"[Software Engineer/Developer, Systems Engineer]",A few times a month,A moderate amount,A lot,A great deal,A little,A lot,Not at all,A moderate amount,A little,Not at all,[Resolution time],Sometimes,,,,Trivial,Mostly Trivial,Difficult,No,[],A moderate amount,A lot,Not at all,A moderate amount,A little,Not at all,Not at all,A little,A moderate amount,A lot,,,"vim, intellij",Rarely,Very effective,Very effective,Moderately effective,Moderately effective,Slightly effective,Very effective,,A lot,Slightly Useful,Moderately Useful,Moderately Useful,Moderately Useful,Slightly Useful,Slightly Useful
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female,1-5 years,I split my time evenly,2-5 developers,[Software Engineer/Developer],A few times a week,A great deal,A moderate amount,A lot,A moderate amount,A lot,A moderate amount,A lot,A moderate amount,A little,"[Lines of code, Number of files, Resolution time]",Yes,Mostly Trivial,Somewhat Difficult,Difficult,,,,Yes,"[Deadlines, Team awareness issues, Project size/scale, Project structure issues, Project rules]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,1-5 years,I split my time evenly,2-5 developers,[Software Engineer/Developer],Once a month,A little,A little,A little,A little,Not at all,A moderate amount,Not at all,Not at all,Not at all,[Number of files],Sometimes,,,,Trivial,Somewhat Difficult,Difficult,No,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,1-5 years,Closed-Source Projects,2-5 developers,[Software Engineer/Developer],Once a week,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,1-5 years,Closed-Source Projects,11-50 developers,[Software Engineer/Developer],A few times a month,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,1-5 years,Closed-Source Projects,2-5 developers,[Software Engineer/Developer],Once a week,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,1-5 years,Closed-Source Projects,6-10 developers,[Software Engineer/Developer],A few times a month,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,6-10 years,Closed-Source Projects,6-10 developers,"[Software Engineer/Developer, DevOps]",A few times a year,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,1-5 years,Closed-Source Projects,2-5 developers,"[Software Engineer/Developer, DevOps]",A few times a month,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,6-10 years,Closed-Source Projects,6-10 developers,"[Software Engineer/Developer, Systems Engineer, System Architect]",A few times a month,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,1-5 years,Closed-Source Projects,2-5 developers,"[Software Engineer/Developer, System Architect]",A few times a week,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,1-5 years,Closed-Source Projects,2-5 developers,[Software Engineer/Developer],Once a month,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,11-15 years,I split my time evenly,11-50 developers,[Software Engineer/Developer],A few times a month,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,1-5 years,Closed-Source Projects,2-5 developers,[Software Engineer/Developer],A few times a year,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,6-10 years,Closed-Source Projects,6-10 developers,[Software Engineer/Developer],A few times a year,A little,A little,A little,A little,A little,A little,A little,Not at all,Not at all,[Resolution time],Yes,Trivial,Mostly Trivial,Difficult,,,,No,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,6-10 years,Closed-Source Projects,6-10 developers,"[Software Engineer/Developer, System Architect]",A few times a month,A lot,A great deal,A great deal,A lot,A little,A little,A lot,A lot,A little,"[Lines of code, Number of files]",Sometimes,,,,Mostly Trivial,Somewhat Difficult,Not Worth Solving,No,[],A little,A lot,A little,A lot,A little,A little,A moderate amount,A lot,A great deal,A little,,,Beyond Compare,Rarely,Very effective,Moderately effective,Moderately effective,Slightly effective,,Moderately effective,,A moderate amount,Moderately Useful,Moderately Useful,Not Useful,Not Useful,Not Useful,Not Useful
Male,6-10 years,I split my time evenly,2-5 developers,"[Software Engineer/Developer, Project Maintainer, Project Manager]",A few times a month,A little,A little,A little,Not at all,Not at all,A little,Not at all,A little,A little,[Lines of code],Sometimes,,,,Mostly Trivial,Mostly Trivial,Somewhat Difficult,Maybe,"[Team awareness issues, Project size/scale, Project structure issues]",A little,A moderate amount,A little,A moderate amount,A little,A little,A moderate amount,Not at all,A little,A moderate amount,No,,,Rarely,,,,,,,,A lot,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,1-5 years,I split my time evenly,1 developer,[Other],Every day,A moderate amount,A moderate amount,A moderate amount,,A great deal,A lot,A lot,A lot,A little,[Resolution time],Yes,Somewhat Difficult,Somewhat Difficult,Somewhat Difficult,,,,Yes,[Project structure issues],A little,A little,A moderate amount,A great deal,A little,A moderate amount,A little,A great deal,A moderate amount,A little,,,,,,,,,,,,,,,,,,
Male,1-5 years,I split my time evenly,2-5 developers,[Software Engineer/Developer],Once a week,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,11-15 years,Closed-Source Projects,2-5 developers,"[Software Engineer/Developer, Project Manager]",Once a week,A moderate amount,A little,A great deal,Not at all,A moderate amount,Not at all,Not at all,A moderate amount,A little,[Resolution time],No,,,,,,,Yes,"[Team awareness issues, Project structure issues, Other]",A moderate amount,A great deal,A lot,A little,A great deal,A lot,A little,A little,A great deal,A little,No,,I use Beyond Compare to do the diffing. I also use SourceTree to identify the conflicting files. Sometimes I will need to use the version control system itself (git) and pull the older revision to manually inspect differences. Tools don't make it easy to work with two arbitrary revisions side by side.,Sometimes,Extremely Effective,Very effective,Not effective at all,Not effective at all,Not effective at all,Extremely Effective,,A moderate amount,Very Useful,Very Useful,Slightly Useful,Moderately Useful,Very Useful,Slightly Useful
Male,1-5 years,Open-Source Projects,2-5 developers,[Software Engineer/Developer],Once a month,A great deal,A great deal,A great deal,A great deal,A great deal,A moderate amount,A great deal,A moderate amount,A lot,"[Lines of code, Resolution time]",Yes,Mostly Trivial,Difficult,Not Worth Solving,,,,Yes,"[Deadlines, Team awareness issues, Project size/scale, Project structure issues]",A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A lot,,,,,,,,,,,,,,,,,,
Male,1-5 years,Closed-Source Projects,2-5 developers,"[Software Engineer/Developer, System Architect]",Once a month,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,1-5 years,Closed-Source Projects,51+ developers,[Software Engineer/Developer],Once a year or less,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,6-10 years,Open-Source Projects,2-5 developers,[Systems Engineer],A few times a month,A moderate amount,A moderate amount,A moderate amount,A lot,,A little,A little,A moderate amount,A lot,[Lines of code],Sometimes,,,,,Not Worth Solving,,No,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,11-15 years,Closed-Source Projects,2-5 developers,"[Software Engineer/Developer, Systems Engineer, System Architect]",Once a week,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,6-10 years,I split my time evenly,2-5 developers,[Software Engineer/Developer],A few times a month,A little,A little,A moderate amount,A little,Not at all,Not at all,A moderate amount,A lot,A little,[Resolution time],Yes,Trivial,Mostly Trivial,Difficult,,,,No,[],Not at all,A lot,Not at all,Not at all,Not at all,Not at all,A great deal,Not at all,A great deal,Not at all,,,"I do conflict resolution on ""git rebase"", and don't usually do merge at all. / For the conflict resolution, I don't use any particular tool other than bare git and a normal code editor.",Never,Very effective,Very effective,Moderately effective,Moderately effective,Not effective at all,Very effective,,A lot,Very Useful,Essential,Essential,Slightly Useful,Not Useful,Not Useful
Male,1-5 years,I split my time evenly,2-5 developers,[Software Engineer/Developer],A few times a year,A moderate amount,A lot,A little,A lot,A moderate amount,A little,A little,A little,A moderate amount,[Lines of code],Yes,Trivial,Mostly Trivial,Difficult,,,,Yes,"[Deadlines, Team awareness issues, Project structure issues]",A little,A little,A little,A moderate amount,A great deal,A lot,A little,A little,A moderate amount,A little,,,"Sourcetree, meld (though I don't currently have it configured correctly), text or code editor (texStudio, eclipse, etc)",Sometimes,Slightly effective,Slightly effective,Slightly effective,Not effective at all,Not effective at all,Slightly effective,,A moderate amount,Very Useful,Very Useful,Moderately Useful,Very Useful,Slightly Useful,Slightly Useful
Male,11-15 years,Open-Source Projects,2-5 developers,"[Software Engineer/Developer, System Architect]",A few times a week,A lot,A moderate amount,A lot,A moderate amount,A great deal,Not at all,A moderate amount,A moderate amount,A moderate amount,[Resolution time],Yes,Mostly Trivial,Somewhat Difficult,Difficult,,,,Yes,"[Deadlines, Project size/scale]",A moderate amount,A great deal,A lot,A lot,A great deal,A great deal,A great deal,A moderate amount,A moderate amount,A great deal,,,,,,,,,,,,,,,,,,
Male,1-5 years,I split my time evenly,2-5 developers,"[Software Engineer/Developer, Project Maintainer, Project Manager]",Once a month,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,6-10 years,Closed-Source Projects,2-5 developers,[Software Engineer/Developer],Once a month,A great deal,A moderate amount,A lot,A moderate amount,A moderate amount,A lot,A moderate amount,A little,A moderate amount,[Resolution time],Sometimes,,,,Trivial,Mostly Trivial,Somewhat Difficult,Maybe,[Other],A moderate amount,A lot,A little,A little,A great deal,A moderate amount,A lot,A lot,A moderate amount,A moderate amount,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,6-10 years,Closed-Source Projects,2-5 developers,"[Software Engineer/Developer, Systems Administrator, Project Maintainer, Project Manager, System Architect]",A few times a month,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,1-5 years,Closed-Source Projects,1 developer,[DevOps],Once a week,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,6-10 years,Open-Source Projects,1 developer,"[Software Engineer/Developer, Systems Administrator, DevOps]",Once a month,A lot,A lot,A little,A little,A lot,A moderate amount,A moderate amount,A moderate amount,A lot,"[Lines of code, Number of files]",Sometimes,,,,Somewhat Difficult,Somewhat Difficult,Somewhat Difficult,Maybe,[],A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,,,,,,,,,,,,,,,,,,
Male,11-15 years,Closed-Source Projects,51+ developers,[Software Engineer/Developer],Once a week,A little,A little,A little,A little,A little,Not at all,A little,A little,A lot,[Resolution time],Yes,Trivial,Somewhat Difficult,Difficult,,,,No,[],A moderate amount,A lot,A moderate amount,A little,A moderate amount,A moderate amount,A little,A moderate amount,A little,A great deal,,,git (cli) / Kaleidoscope / GitUp,Rarely,Extremely Effective,Moderately effective,Moderately effective,Slightly effective,Very effective,Very effective,,A lot,Slightly Useful,Very Useful,Very Useful,Very Useful,Moderately Useful,Not Useful
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,6-10 years,Open-Source Projects,6-10 developers,"[Software Engineer/Developer, Project Manager]",A few times a month,Not at all,A little,Not at all,A little,Not at all,Not at all,Not at all,A little,A lot,[Resolution time],Yes,Trivial,Trivial,Mostly Trivial,,,,No,[],Not at all,A great deal,A little,A moderate amount,A little,A little,Not at all,Not at all,Not at all,A moderate amount,No,,NetBeans and console,Never,Extremely Effective,Extremely Effective,Extremely Effective,Extremely Effective,Extremely Effective,Extremely Effective,,Completely,Not Useful,Not Useful,Not Useful,Not Useful,Not Useful,Not Useful
NA,,,,[],,,,,,,,,,,[],,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
